#K OBJECT   '100006'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 100006
#K OBJRA    11:30:29.03
#K OBJDEC   +18:24:35.3
#K OBJBMAG  6.617000E+00
#K OBJVMAG  5.559000E+00
#K SPTYPE   K0III
#K OBJRV    2.670000E+01
#K HDNAME   HD 100006
#K BDNAME   BD+19 2459
#K HIPNAME  HIP 56146
#K SAONAME  SAO 99637
#K VHELIO   9.89453868567365E+00
#K VLSR     1.06691581230570E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679642E+03
#K CMAX1    6.009774E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4755  1978A&A....67..311F (Foy)
#K LOGG     3.000000E+00  1978A&A....67..311F (Foy)
#K FEH      2.000000E-02  1978A&A....67..311F (Foy)
#K COVERAGE 3465.0-9469.0
#K GAPS     6798.6-6827.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2012859
           3465.4       0.1663877
           3465.8       0.1389996
           3466.2       0.1304943
           3466.6       0.1507858
            3467.       0.1783601
           3467.4       0.1897436
           3467.8       0.2091339
           3468.2       0.2308279
           3468.6        0.217218
            3469.       0.2080326
           3469.4       0.2196699
           3469.8       0.2358507
           3470.2       0.2499488
           3470.6       0.2626214
            3471.       0.2373716
           3471.4       0.2112752
           3471.8       0.1969241
           3472.2       0.1709575
           3472.6       0.1590271
            3473.        0.168869
           3473.4       0.1687328
           3473.8       0.1565031
           3474.2       0.1417068
           3474.6       0.1345438
            3475.         0.11608
           3475.4       0.1035944
           3475.8       0.1032714
           3476.2       0.1028944
           3476.6       0.1050895
            3477.       0.1196381
           3477.4       0.1500386
           3477.8       0.1772376
           3478.2       0.1883433
           3478.6       0.1966018
            3479.       0.2022219
           3479.4        0.194589
           3479.8        0.184694
           3480.2       0.1748832
           3480.6       0.1839941
            3481.       0.1893968
           3481.4       0.1960669
           3481.8       0.2002187
           3482.2       0.2046267
           3482.6       0.1836409
            3483.       0.1581371
           3483.4       0.1483586
           3483.8       0.1556243
           3484.2       0.1752473
           3484.6         0.17367
            3485.       0.1615778
           3485.4        0.161848
           3485.8       0.1774729
           3486.2       0.2035767
           3486.6       0.2319252
            3487.       0.2457106
           3487.4       0.2534209
           3487.8       0.2383145
           3488.2       0.2062563
           3488.6       0.1798958
            3489.       0.1617291
           3489.4       0.1453013
           3489.8       0.1269964
           3490.2       0.1116116
           3490.6       0.1083364
            3491.       0.1207672
           3491.4        0.147192
           3491.8        0.167237
           3492.2       0.1597586
           3492.6       0.1309261
            3493.       0.1232169
           3493.4       0.1524023
           3493.8       0.1809681
           3494.2       0.2007275
           3494.6       0.2144891
            3495.       0.2038319
           3495.4       0.1832186
           3495.8       0.1611299
           3496.2       0.1391703
           3496.6       0.1297252
            3497.       0.1221892
           3497.4       0.1216272
           3497.8       0.1301859
           3498.2       0.1563795
           3498.6       0.1986889
            3499.       0.2384798
           3499.4       0.2646499
           3499.8       0.2683004
           3500.2       0.2554053
           3500.6       0.2454121
            3501.       0.2389391
           3501.4       0.2460931
           3501.8       0.2413932
           3502.2       0.2267913
           3502.6       0.2324762
            3503.       0.2730165
           3503.4       0.3085299
           3503.8       0.3218369
           3504.2       0.2984876
           3504.6       0.2574582
            3505.       0.2268283
           3505.4       0.2112952
           3505.8       0.2092835
           3506.2       0.2005883
           3506.6       0.1935582
            3507.       0.2177877
           3507.4       0.2424992
           3507.8       0.2599369
           3508.2       0.2626395
           3508.6       0.2617268
            3509.       0.2434715
           3509.4       0.2159691
           3509.8       0.1836208
           3510.2       0.1598255
           3510.6       0.1691265
